RHC;;;
Fecha;Componente;Valor;UOM
01/02/2015 15:58:08;20% RECOGIDO;;§C
01/02/2015 15:58:08;30% RECOGIDO;;§C
01/02/2015 15:58:08;5% RECOGIDO;;§C
01/02/2015 15:58:08;50% RECOGIDO;;§C
01/02/2015 15:58:08;70% RECOGIDO;;§C
01/02/2015 15:58:08;80% RECOGIDO;;§C
01/02/2015 15:58:08;90% RECOGIDO;;§C
01/02/2015 15:58:08;95% RECOGIDO;;§C
01/02/2015 15:58:08;AZUFRE;8.1;mg/kg
01/02/2015 15:58:08;COLOR ASTM;3.5;-
01/02/2015 15:58:08;DENSIDAD 15§C;0.8502;Kg/L
01/02/2015 15:58:08;I. VISCOSIDAD NOR 4.3 CST A 100§C;125;-
01/02/2015 15:58:08;INDICE VISCOSIDAD;132;-
01/02/2015 15:58:08;NITROGENO;5.1;mg/kg
01/02/2015 15:58:08;P.FINAL;;§C
01/02/2015 15:58:08;P.INICIAL;;§C
01/02/2015 15:58:08;VISCOSIDAD A 100§C;4.993;mmý/s
01/02/2015 15:58:08;VISCOSIDAD A 65§C;11.045;mmý/s
04/02/2015 5:52:33;1% RECOGIDO;276;§C
04/02/2015 5:52:33;10% RECOGIDO;377;§C
04/02/2015 5:52:33;20% RECOGIDO;407;§C
04/02/2015 5:52:33;30% RECOGIDO;419;§C
04/02/2015 5:52:33;5% RECOGIDO;364;§C
04/02/2015 5:52:33;50% RECOGIDO;441;§C
04/02/2015 5:52:33;70% RECOGIDO;464;§C
04/02/2015 5:52:33;80% RECOGIDO;481;§C
04/02/2015 5:52:33;90% RECOGIDO;511;§C
04/02/2015 5:52:33;95% RECOGIDO;541;§C
04/02/2015 5:52:33;AZUFRE;5.2;mg/kg
04/02/2015 5:52:33;COLOR ASTM;<4.0;-
04/02/2015 5:52:33;DENSIDAD 15§C;0.8522;Kg/L
04/02/2015 5:52:33;I. VISCOSIDAD NOR 4.3 CST A 100§C;118;-
04/02/2015 5:52:33;INDICE VISCOSIDAD;127;-
04/02/2015 5:52:33;NITROGENO;0.53;mg/kg
04/02/2015 5:52:33;P.FINAL;571;§C
04/02/2015 5:52:33;P.INICIAL;262;§C
04/02/2015 5:52:33;VISCOSIDAD A 100§C;5.215;mmý/s
04/02/2015 5:52:33;VISCOSIDAD A 65§C;11.787;mmý/s
05/02/2015 5:58:41;1% RECOGIDO;295;§C
05/02/2015 5:58:41;10% RECOGIDO;385;§C
05/02/2015 5:58:41;20% RECOGIDO;408;§C
05/02/2015 5:58:41;30% RECOGIDO;420;§C
05/02/2015 5:58:41;5% RECOGIDO;367;§C
05/02/2015 5:58:41;50% RECOGIDO;442;§C
05/02/2015 5:58:41;70% RECOGIDO;464;§C
05/02/2015 5:58:41;80% RECOGIDO;481;§C
05/02/2015 5:58:41;90% RECOGIDO;511;§C
05/02/2015 5:58:41;95% RECOGIDO;540;§C
05/02/2015 5:58:41;AZUFRE;5;mg/kg
05/02/2015 5:58:41;COLOR ASTM;<4.0;-
05/02/2015 5:58:41;DENSIDAD 15§C;0.8521;Kg/L
05/02/2015 5:58:41;I. VISCOSIDAD NOR 4.3 CST A 100§C;121;-
05/02/2015 5:58:41;INDICE VISCOSIDAD;130;-
05/02/2015 5:58:41;NITROGENO;0.7;mg/kg
05/02/2015 5:58:41;P.FINAL;570;§C
05/02/2015 5:58:41;P.INICIAL;284;§C
05/02/2015 5:58:41;VISCOSIDAD A 100§C;5.228;mmý/s
05/02/2015 5:58:41;VISCOSIDAD A 65§C;11.748;mmý/s
06/02/2015 10:48:27;1% RECOGIDO;244;§C
06/02/2015 10:48:27;10% RECOGIDO;367;§C
06/02/2015 10:48:27;20% RECOGIDO;406;§C
06/02/2015 10:48:27;30% RECOGIDO;419;§C
06/02/2015 10:48:27;5% RECOGIDO;364;§C
06/02/2015 10:48:27;50% RECOGIDO;441;§C
06/02/2015 10:48:27;70% RECOGIDO;463;§C
06/02/2015 10:48:27;80% RECOGIDO;480;§C
06/02/2015 10:48:27;90% RECOGIDO;509;§C
06/02/2015 10:48:27;95% RECOGIDO;539;§C
06/02/2015 10:48:27;AZUFRE;3.8;mg/kg
06/02/2015 10:48:27;COLOR ASTM;<4.0;-
06/02/2015 10:48:27;DENSIDAD 15§C;0.8506;Kg/L
06/02/2015 10:48:27;I. VISCOSIDAD NOR 4.3 CST A 100§C;121;-
06/02/2015 10:48:27;INDICE VISCOSIDAD;130;-
06/02/2015 10:48:27;NITROGENO;0.8;mg/kg
06/02/2015 10:48:27;P.FINAL;568;§C
06/02/2015 10:48:27;P.INICIAL;225;§C
06/02/2015 10:48:27;VISCOSIDAD A 100§C;5.185;mmý/s
06/02/2015 10:48:27;VISCOSIDAD A 65§C;11.640;mmý/s
08/02/2015 15:22:17;AZUFRE;5.58;mg/kg
08/02/2015 15:22:17;DENSIDAD 15§C;0.8496;Kg/L
08/02/2015 15:22:17;I. VISCOSIDAD NOR 4.3 CST A 100§C;123;-
08/02/2015 15:22:17;INDICE VISCOSIDAD;129;-
08/02/2015 15:22:17;NITROGENO;3.52;mg/kg
10/02/2015 18:18:10;1% RECOGIDO;;§C
10/02/2015 18:18:10;10% RECOGIDO;;§C
10/02/2015 18:18:10;20% RECOGIDO;;§C
10/02/2015 18:18:10;30% RECOGIDO;;§C
10/02/2015 18:18:10;5% RECOGIDO;;§C
10/02/2015 18:18:10;50% RECOGIDO;;§C
10/02/2015 18:18:10;70% RECOGIDO;;§C
10/02/2015 18:18:10;80% RECOGIDO;;§C
10/02/2015 18:18:10;90% RECOGIDO;;§C
10/02/2015 18:18:10;95% RECOGIDO;;§C
10/02/2015 18:18:10;AZUFRE;4.0;mg/kg
10/02/2015 18:18:10;COLOR ASTM;<3.5;-
10/02/2015 18:18:10;DENSIDAD 15§C;0.8521;Kg/L
10/02/2015 18:18:10;I. VISCOSIDAD NOR 4.3 CST A 100§C;121;-
10/02/2015 18:18:10;INDICE VISCOSIDAD;130;-
10/02/2015 18:18:10;NITROGENO;1.4;mg/kg
10/02/2015 18:18:10;P.FINAL;;§C
10/02/2015 18:18:10;P.INICIAL;;§C
10/02/2015 18:18:10;VISCOSIDAD A 100§C;5.204;mmý/s
