RHC;;;
Fecha;Componente;Valor;UOM
20/05/2014 6:11:34;10% RECOGIDO;390;§C
20/05/2014 6:11:34;20% RECOGIDO;412;§C
20/05/2014 6:11:34;30% RECOGIDO;423;§C
20/05/2014 6:11:34;50% RECOGIDO;444;§C
20/05/2014 6:11:34;70% RECOGIDO;465;§C
20/05/2014 6:11:34;80% RECOGIDO;481;§C
20/05/2014 6:11:34;90% RECOGIDO;511;§C
20/05/2014 6:11:34;95% RECOGIDO;542;§C
20/05/2014 6:11:34;P.FINAL;572;§C
20/05/2014 6:11:34;P.INICIAL;295;§C
20/05/2014 6:11:34;AZUFRE;5.2;mg/Kg
20/05/2014 6:11:34;COLOR ASTM;3.0;-
20/05/2014 6:11:34;DENSIDAD 15§C;0.8405;Kg/L
20/05/2014 6:11:34;DESTILACION:;;.
20/05/2014 6:11:34;I. VISCOSIDAD NOR 4.3 CST A 100§C;132;-
20/05/2014 6:11:34;INDICE VISCOSIDAD;139;-
20/05/2014 6:11:34;NITROGENO;EQUIP.AVERIADO;mg/Kg
20/05/2014 6:11:34;VISCOSIDAD A 100§C;4.928;mm2/S
20/05/2014 6:11:34;VISCOSIDAD A 65§C;10.73;mm2/S
21/05/2014 5:07:37;1% RECOGIDO;303;§C
21/05/2014 5:07:37;5% RECOGIDO;369;§C
21/05/2014 5:07:37;10% RECOGIDO;384;§C
21/05/2014 5:07:37;20% RECOGIDO;405;§C
21/05/2014 5:07:37;30% RECOGIDO;415;§C
21/05/2014 5:07:37;50% RECOGIDO;435;§C
21/05/2014 5:07:37;70% RECOGIDO;457;§C
21/05/2014 5:07:37;80% RECOGIDO;474;§C
21/05/2014 5:07:37;90% RECOGIDO;504;§C
21/05/2014 5:07:37;95% RECOGIDO;538;§C
21/05/2014 5:07:37;P.FINAL;571;§C
21/05/2014 5:07:37;P.INICIAL;293;§C
21/05/2014 5:07:37;AZUFRE;4.4;mg/Kg
21/05/2014 5:07:37;COLOR ASTM;2.5;-
21/05/2014 5:07:37;DENSIDAD 15§C;0.8391;Kg/L
21/05/2014 5:07:37;DESTILACION:;;.
21/05/2014 5:07:37;I. VISCOSIDAD NOR 4.3 CST A 100§C;133;-
21/05/2014 5:07:37;INDICE VISCOSIDAD;136;-
21/05/2014 5:07:37;NITROGENO;EQUIP.AVERIADO;mg/Kg
21/05/2014 5:07:37;VISCOSIDAD A 100§C;4.607;mm2/S
21/05/2014 5:07:37;VISCOSIDAD A 65§C;9.880;mm2/S
28/05/2014 5:07:05;1% RECOGIDO;293;§C
28/05/2014 5:07:05;5% RECOGIDO;368;§C
28/05/2014 5:07:05;10% RECOGIDO;386;§C
28/05/2014 5:07:05;20% RECOGIDO;409;§C
28/05/2014 5:07:05;30% RECOGIDO;420;§C
28/05/2014 5:07:05;50% RECOGIDO;443;§C
28/05/2014 5:07:05;70% RECOGIDO;470;§C
28/05/2014 5:07:05;80% RECOGIDO;488;§C
28/05/2014 5:07:05;90% RECOGIDO;518;§C
28/05/2014 5:07:05;95% RECOGIDO;551;§C
28/05/2014 5:07:05;P.FINAL;584;§C
28/05/2014 5:07:05;P.INICIAL;281;§C
28/05/2014 5:07:05;AZUFRE;3.8;mg/Kg
28/05/2014 5:07:05;COLOR ASTM;3.0;-
28/05/2014 5:07:05;DENSIDAD 15§C;0.8475;Kg/L
28/05/2014 5:07:05;DESTILACION:;;.
28/05/2014 5:07:05;I. VISCOSIDAD NOR 4.3 CST A 100§C;119;-
28/05/2014 5:07:05;INDICE VISCOSIDAD;128;-
28/05/2014 5:07:05;NITROGENO;1.5;mg/Kg
28/05/2014 5:07:05;VISCOSIDAD A 100§C;5.122;mm2/S
28/05/2014 5:07:05;VISCOSIDAD A 65§C;11.50;mm2/S
28/05/2014 14:13:43;1% RECOGIDO;288;§C
28/05/2014 14:13:43;5% RECOGIDO;362;§C
28/05/2014 14:13:43;10% RECOGIDO;381;§C
28/05/2014 14:13:43;20% RECOGIDO;407;§C
28/05/2014 14:13:43;30% RECOGIDO;419;§C
28/05/2014 14:13:43;50% RECOGIDO;442;§C
28/05/2014 14:13:43;70% RECOGIDO;469;§C
28/05/2014 14:13:43;80% RECOGIDO;488;§C
28/05/2014 14:13:43;90% RECOGIDO;518;§C
28/05/2014 14:13:43;95% RECOGIDO;551;§C
28/05/2014 14:13:43;P.FINAL;585;§C
28/05/2014 14:13:43;P.INICIAL;277;§C
28/05/2014 14:13:43;AZUFRE;5.9;mg/Kg
28/05/2014 14:13:43;COLOR ASTM;<3.0;-
28/05/2014 14:13:43;DENSIDAD 15§C;0.8455;Kg/L
28/05/2014 14:13:43;DESTILACION:;;.
28/05/2014 14:13:43;I. VISCOSIDAD NOR 4.3 CST A 100§C;125;-
28/05/2014 14:13:43;INDICE VISCOSIDAD;133;-
28/05/2014 14:13:43;NITROGENO;2.8;mg/Kg
28/05/2014 14:13:43;VISCOSIDAD A 100§C;5.054;mm2/S
28/05/2014 14:13:43;VISCOSIDAD A 65§C;11.20;mm2/S
28/05/2014 23:51:18;1% RECOGIDO;290;§C
28/05/2014 23:51:18;5% RECOGIDO;362;§C
28/05/2014 23:51:18;10% RECOGIDO;381;§C
28/05/2014 23:51:18;20% RECOGIDO;407;§C
28/05/2014 23:51:18;30% RECOGIDO;419;§C
28/05/2014 23:51:18;50% RECOGIDO;441;§C
28/05/2014 23:51:18;70% RECOGIDO;465;§C
28/05/2014 23:51:18;80% RECOGIDO;482;§C
28/05/2014 23:51:18;90% RECOGIDO;513;§C
28/05/2014 23:51:18;95% RECOGIDO;546;§C
28/05/2014 23:51:18;P.FINAL;579;§C
28/05/2014 23:51:18;P.INICIAL;279;§C
28/05/2014 23:51:18;AZUFRE;3.7;mg/Kg
28/05/2014 23:51:18;COLOR ASTM;3.0;-
28/05/2014 23:51:18;DENSIDAD 15§C;0.8429;Kg/L
28/05/2014 23:51:18;DESTILACION:;;.
28/05/2014 23:51:18;I. VISCOSIDAD NOR 4.3 CST A 100§C;126;-
28/05/2014 23:51:18;INDICE VISCOSIDAD;129;-
28/05/2014 23:51:18;NITROGENO;2.9;mg/Kg
28/05/2014 23:51:18;VISCOSIDAD A 100§C;4.649;mm2/S
28/05/2014 23:51:18;VISCOSIDAD A 65§C;10.12;mm2/S
29/05/2014 8:19:31;1% RECOGIDO;292;§C
29/05/2014 8:19:31;5% RECOGIDO;364;§C
29/05/2014 8:19:31;10% RECOGIDO;283;§C
29/05/2014 8:19:31;20% RECOGIDO;407;§C
29/05/2014 8:19:31;30% RECOGIDO;419;§C
29/05/2014 8:19:31;50% RECOGIDO;441;§C
29/05/2014 8:19:31;70% RECOGIDO;465;§C
29/05/2014 8:19:31;80% RECOGIDO;482;§C
29/05/2014 8:19:31;90% RECOGIDO;513;§C
29/05/2014 8:19:31;95% RECOGIDO;547;§C
29/05/2014 8:19:31;P.FINAL;580;§C
29/05/2014 8:19:31;P.INICIAL;281;§C
29/05/2014 8:19:31;AZUFRE;3.6;mg/Kg
29/05/2014 8:19:31;COLOR ASTM;3.0;-
29/05/2014 8:19:31;DENSIDAD 15§C;0.8479;Kg/L
29/05/2014 8:19:31;DESTILACION:;;.
29/05/2014 8:19:31;I. VISCOSIDAD NOR 4.3 CST A 100§C;126;-
29/05/2014 8:19:31;INDICE VISCOSIDAD;132;-
